step,win_rate
52,0.0
10093,0.03125
20117,0.0
30133,0.0
40165,0.125
50185,0.0
60195,0.03125
70289,0.0
80327,0.0
90419,0.03125
100441,0.03125
110577,0.0
120637,0.0
130644,0.0
140668,0.03125
150692,0.0
160736,0.0
170842,0.0
180980,0.0
191059,0.03125
201123,0.03125
211162,0.03125
221239,0.03125
231256,0.0
241257,0.09375
251284,0.0
261310,0.0625
271378,0.09375
281388,0.125
291430,0.0
301464,0.0625
311524,0.03125
321550,0.0625
331610,0.0
341640,0.0
351667,0.0
361746,0.03125
371771,0.0
381786,0.0
391854,0.0
401858,0.09375
411868,0.0
421890,0.0
431957,0.0
441958,0.0
451996,0.0
462005,0.03125
472019,0.0625
482055,0.03125
492073,0.40625
502103,0.28125
512128,0.0625
522207,0.0
532222,0.0
542300,0.0
552317,0.0
562339,0.0
572352,0.03125
582404,0.0
592512,0.0
602563,0.03125
612643,0.0
622643,0.03125
632703,0.0
642707,0.0
652772,0.0
662820,0.0
672837,0.0
682884,0.0
692925,0.03125
702984,0.0
713020,0.0
723031,0.0
733125,0.0
743191,0.03125
753234,0.0
763245,0.03125
773260,0.0
783265,0.0625
793319,0.34375
803336,0.25
813376,0.03125
823402,0.0
833453,0.03125
843498,0.0
853569,0.03125
863577,0.0
873625,0.03125
883642,0.0
893782,0.0
903817,0.0
913852,0.0625
923896,0.0
933954,0.0
944098,0.0
954139,0.0
964169,0.0
974280,0.0
984285,0.0
994307,0.0
1004343,0.0
1014364,0.21875
1024393,0.53125
1034415,0.09375
1044422,0.1875
1054426,0.0625
1064435,0.0625
1074462,0.03125
1084566,0.0625
1094576,0.0
1104597,0.0
1114654,0.125
1124680,0.0
1134690,0.03125
1144739,0.0
1154749,0.28125
1164762,0.09375
1174781,0.21875
1184782,0.40625
1194790,0.34375
1204795,0.34375
1214806,0.15625
1224833,0.1875
1234905,0.0
1244941,0.0
1254951,0.03125
1265005,0.15625
1275086,0.15625
1285127,0.28125
1295171,0.1875
1305173,0.28125
1315194,0.0
1325300,0.0625
1335360,0.4375
1345396,0.28125
1355479,0.3125
1365500,0.34375
1375507,0.40625
1385528,0.21875
1395533,0.125
1405658,0.09375
1415681,0.34375
1425693,0.40625
1435703,0.09375
1445704,0.15625
1455733,0.15625
1465794,0.03125
1475874,0.34375
1485898,0.25
1495899,0.03125
1505927,0.03125
1515935,0.125
1525937,0.0625
1535956,0.1875
1545963,0.46875
1556079,0.0
1566125,0.0
1576136,0.0
1586154,0.15625
1596164,0.15625
1606188,0.40625
1616243,0.625
1626252,0.53125
1636253,0.09375
1646257,0.59375
1656270,0.3125
1666337,0.0625
1676351,0.34375
1686361,0.53125
1696361,0.21875
1706380,0.34375
1716389,0.4375
1726467,0.40625
1736524,0.40625
1746532,0.40625
1756575,0.3125
1766602,0.375
1776622,0.5625
1786626,0.21875
1796651,0.09375
1806667,0.3125
1816691,0.125
1826706,0.375
1836745,0.03125
1846768,0.0
1856789,0.0
1866816,0.5
1876816,0.46875
1886822,0.09375
1896890,0.40625
1906890,0.28125
1916916,0.15625
1926943,0.03125
1936945,0.0
1946953,0.3125
1956958,0.21875
1966979,0.40625
1976988,0.78125
1986999,0.40625
1997007,0.46875
2007011,0.53125
2017035,0.0
2027044,0.4375
2037087,0.03125
2047126,0.03125
2057146,0.0625
2067158,0.15625
2077175,0.09375
2087210,0.34375
2097252,0.25
2107255,0.0
2117312,0.375
2127314,0.40625
2137335,0.28125
2147336,0.0625
2157357,0.375
2167381,0.0625
2177394,0.25
2187408,0.1875
2197453,0.5
2207469,0.40625
2217494,0.15625
2227502,0.375
2237563,0.03125
2247571,0.0
2257590,0.0
2267595,0.3125
2277600,0.4375
2287631,0.40625
2297643,0.625
2307652,0.53125
2317720,0.0
2327723,0.5
2337768,0.59375
2347770,0.4375
2357779,0.375
2367802,0.3125
2377811,0.40625
2387818,0.375
2397928,0.25
2407952,0.4375
2418012,0.0
2428018,0.0
2438024,0.3125
2448053,0.125
2458056,0.53125
2468098,0.40625
2478137,0.4375
2488148,0.15625
2498169,0.46875
2508220,0.3125
2518223,0.34375
2528226,0.3125
2538236,0.4375
2548251,0.46875
2558252,0.375
2568257,0.3125
2578308,0.40625
2588336,0.3125
2598346,0.375
2608373,0.4375
2618391,0.4375
2628396,0.34375
2638490,0.53125
2648579,0.4375
2658705,0.0
2668760,0.0
2678835,0.15625
2688866,0.1875
2698890,0.28125
2708917,0.125
2718935,0.3125
2728957,0.09375
2738965,0.46875
2748982,0.5
2758992,0.21875
2769073,0.46875
2779080,0.34375
2789082,0.34375
2799196,0.53125
2809219,0.375
2819242,0.40625
2829329,0.375
2839409,0.40625
2849423,0.46875
2859473,0.5
2869473,0.40625
2879477,0.28125
2889508,0.3125
2899511,0.4375
2909621,0.34375
2919636,0.1875
2929662,0.09375
2939672,0.3125
2949685,0.15625
2959729,0.3125
2969744,0.6875
2979762,0.03125
2989762,0.0
2999766,0.34375
3009885,0.3125
3020018,0.4375
3030062,0.03125
3040170,0.0
3050244,0.1875
3060262,0.40625
3070268,0.34375
3080270,0.25
3090332,0.4375
3100346,0.34375
3110495,0.5625
3120519,0.40625
3130533,0.4375
3140584,0.3125
3150692,0.34375
3160704,0.25
3170710,0.21875
3180729,0.1875
3190749,0.53125
3200817,0.5
3210837,0.375
3220838,0.28125
3230843,0.4375
3240843,0.0625
3250895,0.375
3260986,0.375
3271028,0.0
3281030,0.40625
3291041,0.46875
3301066,0.3125
3311070,0.09375
3321078,0.21875
3331134,0.21875
3341139,0.375
3351151,0.3125
3361196,0.375
3371220,0.03125
3381273,0.5625
3391339,0.21875
3401347,0.40625
3411394,0.125
3421411,0.4375
3431425,0.40625
3441438,0.46875
3451455,0.0
3461479,0.0
3471494,0.0
3481591,0.375
3491650,0.1875
3501657,0.25
3511678,0.375
