step,win_rate
27,0.0
10057,0.0
20074,0.0625
30096,0.0
40104,0.0
50144,0.0
60180,0.0
70266,0.0
80284,0.0
90290,0.0
100365,0.0
110401,0.0
120401,0.0
130518,0.0
140571,0.0
150642,0.0
160652,0.0
170724,0.0
180740,0.0
190744,0.0
200837,0.0
210865,0.0625
220881,0.0
230956,0.25
241018,0.0
251020,0.125
261110,0.0
271193,0.03125
281276,0.0
291312,0.0
301313,0.0
311339,0.0
321350,0.0
331371,0.03125
341424,0.0
351427,0.0
361465,0.0
371501,0.0
381512,0.0
391575,0.0
401592,0.0
411650,0.03125
421656,0.03125
431683,0.0
441814,0.0
451867,0.0
461868,0.0
471877,0.0
481908,0.0
491950,0.03125
502001,0.0
512123,0.0
522188,0.0
532225,0.0
542230,0.0
552378,0.0
562447,0.0
572532,0.0
582561,0.0
592589,0.0
602717,0.0
612768,0.0
622792,0.0
632808,0.0
642820,0.09375
652838,0.0
662838,0.0
672875,0.0
682921,0.0
692935,0.03125
702941,0.0
713053,0.0
723072,0.0
733107,0.0
743123,0.03125
753142,0.03125
763165,0.03125
773196,0.09375
783222,0.0
793237,0.0
803240,0.0
813267,0.09375
823326,0.03125
833337,0.1875
843348,0.0
853375,0.0
863405,0.0
873458,0.03125
883492,0.0625
893571,0.0
903592,0.0
913622,0.0
923700,0.0
933748,0.0
943778,0.0
953875,0.0
963906,0.0
973967,0.03125
984035,0.0
994110,0.0
1004117,0.0
1014143,0.0
1024153,0.1875
1034184,0.0
1044219,0.03125
1054220,0.09375
1064234,0.0
1074267,0.0
1084286,0.0
1094291,0.0
1104371,0.0
1114405,0.0625
1124514,0.0
1134646,0.0
1144748,0.0
1154818,0.0
1164916,0.0
1174949,0.0625
1184976,0.0
1195009,0.0
1205029,0.0625
1215041,0.03125
1225076,0.0625
1235081,0.0
1245081,0.0
1255094,0.0
1265160,0.0
1275275,0.09375
1285358,0.0
1295363,0.0
1305398,0.0
1315406,0.0
1325437,0.0
1335443,0.0
1345585,0.0
1355612,0.0
1365618,0.03125
1375668,0.03125
1385719,0.03125
1395723,0.0
1405750,0.09375
1415750,0.03125
1425758,0.125
1435856,0.0
1445864,0.03125
1455897,0.03125
1465897,0.0625
1475922,0.0
1486006,0.0
1496008,0.03125
1506039,0.0
1516064,0.0
1526082,0.0
1536084,0.0
1546100,0.0
1556204,0.0
1566235,0.09375
1576256,0.09375
1586273,0.03125
1596309,0.1875
1606354,0.09375
1616362,0.09375
1626364,0.0625
1636372,0.03125
1646388,0.03125
1656411,0.03125
1666422,0.0
1676434,0.09375
1686582,0.0625
1696673,0.0
1706697,0.0
1716741,0.03125
1726803,0.03125
1736830,0.0
1746862,0.03125
1756884,0.0
1766899,0.03125
1776912,0.34375
1786912,0.34375
1797032,0.21875
1807063,0.03125
1817067,0.1875
1827109,0.28125
1837154,0.125
1847168,0.1875
1857168,0.21875
1867168,0.1875
1877187,0.21875
1887194,0.25
1897222,0.0
1907242,0.09375
1917248,0.0625
1927255,0.34375
1937258,0.09375
1947288,0.375
1957316,0.375
1967337,0.25
1977355,0.0625
1987358,0.375
1997391,0.0
2007408,0.0625
2017447,0.03125
2027457,0.125
2037507,0.09375
2047585,0.03125
2057608,0.03125
2067614,0.09375
2077627,0.0
2087654,0.0
2097698,0.0
2107721,0.03125
2117799,0.03125
2127888,0.03125
2137926,0.03125
2147945,0.09375
2157957,0.1875
2168085,0.09375
2178228,0.0625
2188250,0.0
2198265,0.09375
2208287,0.0
2218297,0.0625
2228344,0.0
2238384,0.125
2248401,0.0
2258491,0.0
2268515,0.0625
2278588,0.0
2288643,0.0
2298696,0.03125
2308720,0.09375
2318734,0.0
2328735,0.125
2338749,0.0625
2348849,0.09375
2358862,0.03125
2368926,0.0
2379054,0.0
2389074,0.03125
2399122,0.03125
2409191,0.0
2419299,0.03125
2429429,0.0
2439520,0.03125
2449535,0.0
2459595,0.0
2469629,0.0625
2479695,0.03125
2489716,0.0625
2499723,0.03125
2509741,0.0
2519774,0.125
2529795,0.0625
2539818,0.0625
2549844,0.40625
2559889,0.375
2569905,0.21875
2579924,0.375
2590003,0.15625
2600079,0.46875
2610187,0.34375
2620237,0.25
2630251,0.0625
2640264,0.03125
2650296,0.21875
2660312,0.3125
2670359,0.28125
2680491,0.3125
2690497,0.03125
2700512,0.15625
2710540,0.375
2720566,0.46875
2730579,0.28125
2740611,0.3125
2750612,0.40625
2760647,0.09375
2770675,0.25
2780726,0.15625
2790873,0.125
2800973,0.28125
2811003,0.3125
2821024,0.125
2831106,0.1875
2841117,0.46875
2851134,0.09375
2861140,0.5625
2871195,0.1875
2881219,0.375
2891254,0.03125
2901282,0.4375
2911284,0.09375
2921313,0.625
2931362,0.25
2941379,0.53125
2951500,0.21875
2961503,0.21875
2971525,0.78125
2981616,0.25
2991623,0.625
3001667,0.28125
3011683,0.59375
3021687,0.59375
3031781,0.75
3041799,0.5625
3051803,0.625
3061812,0.46875
3071830,0.71875
3081840,0.71875
3091908,0.65625
3101963,0.75
3112037,0.78125
3122057,0.6875
3132066,0.71875
3142109,0.75
3152116,0.78125
3162129,0.625
3172165,0.59375
3182169,0.5625
3192196,0.46875
3202299,0.59375
3212335,0.5
3222428,0.53125
3232444,0.65625
3242465,0.65625
3252595,0.5625
3262648,0.46875
3272650,0.65625
3282719,0.6875
3292742,0.6875
3302814,0.65625
3312831,0.5
3322832,0.71875
3332903,0.8125
3342915,0.65625
3352977,0.65625
3362990,0.71875
3373059,0.6875
3383061,0.65625
3393092,0.5
3403109,0.65625
3413190,0.6875
3423204,0.34375
3433207,0.71875
3443270,0.625
3453311,0.6875
3463314,0.65625
3473342,0.34375
3483364,0.625
3493512,0.5625
3503538,0.5625
3513628,0.6875
3523642,0.59375
3533699,0.25
3543721,0.21875
3553756,0.125
3563761,0.21875
3573826,0.375
3583831,0.3125
3593853,0.21875
3603879,0.375
3613908,0.46875
3623916,0.46875
3633973,0.15625
3643980,0.59375
3653990,0.5625
3663994,0.625
3674048,0.21875
3684070,0.8125
3694092,0.65625
3704177,0.65625
3714183,0.71875
3724210,0.65625
3734211,0.65625
3744243,0.6875
3754268,0.71875
3764291,0.6875
3774317,0.625
3784403,0.59375
3794428,0.625
3804444,0.65625
3814470,0.4375
3824492,0.5625
3834572,0.6875
3844628,0.75
3854671,0.65625
3864683,0.5625
3874695,0.59375
3884719,0.71875
3894732,0.71875
3904756,0.59375
3914756,0.65625
3924820,0.78125
3934862,0.625
3944897,0.625
3954925,0.6875
3964934,0.6875
3974979,0.46875
3985006,0.625
3995033,0.6875
4005098,0.5625
4015100,0.875
4025100,0.5625
4035106,0.625
4045155,0.5625
